Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778431286,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778431287,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1778431288,6,,Aggregated,0.000000,0.000000,1500,1500,1800,1800,1800,1800,1800,1800,1800,1800,1800,3,0,1500.0,1525.5241443333034,1311.1546380000618,1793.4122219999153,12914.0
1778431289,9,,Aggregated,0.000000,0.000000,1100,1200,1300,1500,1800,1800,1800,1800,1800,1800,1800,9,0,1100.0,1217.3530242221962,979.840035000052,1793.4122219999153,12914.0
1778431290,12,,Aggregated,0.000000,0.000000,1100,1200,1300,1300,1500,1800,1800,1800,1800,1800,1800,17,0,1100.0,1145.5997025293796,860.4509589999907,1793.4122219999153,12914.0
1778431291,15,,Aggregated,1.666667,0.000000,1100,1100,1200,1300,1400,1500,1800,1800,1800,1800,1800,28,0,1100.0,1103.4889077856908,853.9275059999909,1793.4122219999153,12914.0
1778431292,18,,Aggregated,3.250000,0.000000,1100,1100,1200,1200,1400,1500,1800,1800,1800,1800,1800,39,0,1100.0,1108.9613962050964,853.9275059999909,1793.4122219999153,12914.0
1778431293,21,,Aggregated,4.800000,0.000000,1100,1300,1300,1400,1400,1500,1500,1800,1800,1800,1800,51,0,1100.0,1171.7457325489972,853.9275059999909,1793.4122219999153,12914.0
1778431294,24,,Aggregated,6.166667,0.000000,1300,1300,1400,1400,1800,2000,2100,2100,2100,2100,2100,68,0,1200.0,1274.4943564411694,853.9275059999909,2108.1353280001167,12914.0
1778431295,27,,Aggregated,6.714286,0.000000,1300,1400,1500,1500,1800,2000,2100,2100,2100,2100,2100,75,0,1300.0,1309.6257031199941,853.9275059999909,2108.1353280001167,12914.0
1778431296,30,,Aggregated,6.750000,0.000000,1300,1500,1600,1700,1900,2100,2100,2100,2100,2100,2100,85,0,1300.0,1377.2679786352858,853.9275059999909,2123.2898289999866,12914.0
1778431297,33,,Aggregated,8.000000,0.000000,1400,1600,1900,2000,2300,2600,2800,3000,3000,3000,3000,104,0,1400.0,1549.5993712980708,853.9275059999909,2992.5228440001774,12914.0
1778431298,36,,Aggregated,7.600000,0.000000,1500,1700,1900,1900,2100,2500,2800,3000,3000,3000,3000,121,0,1500.0,1576.0631852066042,853.9275059999909,2992.5228440001774,12914.0
1778431299,39,,Aggregated,9.400000,0.000000,1600,1700,1900,1900,2100,2500,2800,3000,3000,3000,3000,134,0,1600.0,1591.1141380074594,853.9275059999909,2992.5228440001774,12914.0
1778431300,42,,Aggregated,11.300000,0.000000,1600,1800,1900,2000,2300,2700,2800,3000,3000,3000,3000,151,0,1600.0,1648.5525659735108,853.9275059999909,2992.5228440001774,12914.0
1778431301,45,,Aggregated,12.600000,0.000000,1700,1900,2100,2100,2700,2900,3100,3200,3200,3200,3200,168,0,1700.0,1750.8954255297656,853.9275059999909,3192.651751000085,12914.0
1778431302,48,,Aggregated,13.200000,0.000000,1700,2000,2100,2300,2600,2900,3100,3200,3900,3900,3900,184,0,1700.0,1809.9555421576142,853.9275059999909,3904.603361999989,12914.0
1778431303,51,,Aggregated,12.900000,0.000000,1800,2100,2300,2500,2800,3000,3200,3400,3900,3900,3900,199,0,1800.0,1874.5598645879459,853.9275059999909,3904.603361999989,12914.0
