Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778439987,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778439988,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778439989,20,,Aggregated,0.000000,0.000000,1000,1200,1300,1300,1400,1400,1400,1400,1400,1400,1400,20,0,420,799.9252843001159,153.34502800033079,1410.3871499992238,5883.0
1778439990,30,,Aggregated,0.000000,0.000000,790,1000,1100,1200,1300,1400,1400,1400,1400,1400,1400,55,25,790,752.204375836399,26.80226499978744,1410.3871499992238,3298.4545454545455
1778439991,30,,Aggregated,0.000000,0.000000,880,1000,1100,1200,1300,1400,1400,1400,1400,1400,1400,58,26,800,764.3266499137789,26.80226499978744,1410.3871499992238,3293.862068965517
1778439992,30,,Aggregated,17.333333,7.333333,1000,1100,1300,1300,1900,2100,2500,2600,2600,2600,2600,68,26,990,960.7547846764967,26.80226499978744,2574.207090001437,3503.0
1778439993,30,,Aggregated,17.333333,7.333333,1100,1400,2100,2500,2700,3000,4200,4300,4300,4300,4300,90,26,1100,1330.5123757111587,26.80226499978744,4345.749068999794,3874.9777777777776
1778439994,30,,Aggregated,14.500000,6.500000,1100,1400,2000,2400,2700,3000,4200,4300,4300,4300,4300,96,26,1100,1332.3361214583922,26.80226499978744,4345.749068999794,3635.4791666666665
1778439995,30,,Aggregated,15.000000,4.333333,1200,1400,2400,2500,3000,3500,4200,4200,4300,4300,4300,101,26,1200,1435.7380977426415,26.80226499978744,4345.749068999794,3972.237623762376
1778439996,30,,Aggregated,13.714286,3.714286,1300,1700,2400,2500,3300,4100,4200,4300,4300,4300,4300,116,26,1300,1538.5183641896808,26.80226499978744,4345.749068999794,4105.482758620689
1778439997,30,,Aggregated,13.714286,3.714286,1300,1700,2500,2600,3700,4200,4400,4700,5100,5100,5100,124,26,1300,1603.12667944358,26.80226499978744,5125.65877400084,4185.282258064516
1778439998,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778439999,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440000,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440001,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440002,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440003,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440004,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440005,30,,Aggregated,12.500000,3.250000,1300,1900,2500,3000,4300,4800,5000,5000,5100,5100,5100,150,26,1300,1718.4846386867014,26.80226499978744,5125.65877400084,4453.786666666667
1778440006,30,,Aggregated,5.400000,0.000000,1100,1700,2500,3000,4700,4900,10000,11000,11000,11000,11000,173,31,1100,1798.0543344277698,5.534866999369115,10564.66356599958,4444.306358381503
1778440007,30,,Aggregated,5.000000,0.000000,940,1400,2400,2700,4700,5000,11000,11000,11000,11000,11000,213,35,940,1671.5053258357384,5.534866999369115,11209.620947000076,4549.131455399061
1778440008,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440009,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440010,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440011,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440012,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440013,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440014,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440015,30,,Aggregated,5.000000,0.000000,48,1000,1400,2500,4900,10000,11000,11000,11000,11000,11000,360,56,41,1600.7326370084124,4.309018000640208,11212.433877000876,4641.827777777778
1778440016,30,,Aggregated,21.000000,3.000000,36,950,1400,2400,4900,10000,11000,11000,11000,11000,11000,381,59,36,1591.9003511339326,4.309018000640208,11212.433877000876,4649.230971128609
1778440017,30,,Aggregated,21.000000,3.000000,31,780,1400,2100,5000,10000,11000,11000,11000,11000,11000,427,66,31,1585.714723555085,3.439787999013788,11212.433877000876,4655.618266978922
1778440018,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440019,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440020,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440021,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440022,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440023,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
1778440024,30,,Aggregated,20.500000,2.500000,29,190,1100,1700,10000,10000,11000,11000,11000,11000,11000,570,86,29,1546.3120525544407,3.439787999013788,11212.433877000876,4691.312280701754
