Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778439850,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778439851,10,,Aggregated,0.000000,0.000000,530,530,810,810,810,810,810,810,810,810,810,4,0,520,552.8961520003577,346.8592150002223,810.8773740004835,5883.0
1778439852,20,,Aggregated,0.000000,0.000000,740,880,1100,1100,1100,1100,1100,1100,1100,1100,1100,19,6,740,759.8646970002033,346.8592150002223,1122.710776000531,4087.4210526315787
1778439853,30,,Aggregated,0.000000,0.000000,1000,1100,1200,1200,1300,1400,1400,1400,1400,1400,1400,30,9,980,910.603889933312,346.8592150002223,1376.3418439993984,4138.3
1778439854,40,,Aggregated,5.000000,0.000000,1100,1200,1300,1400,2900,3200,3500,3500,3500,3500,3500,37,9,1100,1213.359664351358,346.8592150002223,3486.0045370005537,4431.1621621621625
1778439855,50,,Aggregated,6.333333,2.000000,1400,2200,2500,2600,2700,3100,3200,3500,3500,3500,3500,59,16,1400,1652.4400961693805,346.8592150002223,3486.0045370005537,4199.016949152542
1778439856,60,,Aggregated,7.750000,2.250000,1500,2300,2600,2700,2800,2900,3200,3500,3500,3500,3500,63,16,1500,1726.41349566656,346.8592150002223,3486.0045370005537,4305.936507936508
1778439857,60,,Aggregated,7.600000,1.800000,2100,2500,2700,2800,3100,3800,3900,4000,4000,4000,4000,72,16,2000,1935.9831134583048,346.8592150002223,4009.9775719991158,4454.444444444444
1778439858,60,,Aggregated,9.833333,2.666667,2500,2900,3100,3300,3500,3600,3900,4000,4000,4000,4000,90,18,2500,2212.4075677333576,346.8592150002223,4009.9775719991158,4536.0
1778439859,60,,Aggregated,9.285714,2.285714,2500,3100,3200,3400,3500,3800,4000,4000,4000,4000,4000,94,22,2500,2278.0817652766273,346.8592150002223,4009.9775719991158,4351.36170212766
1778439860,60,,Aggregated,9.250000,2.000000,2600,3100,3400,3500,3900,4000,5800,6800,6900,6900,6900,101,25,2600,2484.927165643571,346.8592150002223,6891.8461999983265,4412.366336633663
1778439861,60,,Aggregated,10.000000,2.000000,3100,3500,4000,4300,5900,6400,6900,6900,7300,7300,7300,124,31,2900,3069.89420474191,346.8592150002223,7252.070002999972,4491.201612903225
1778439862,60,,Aggregated,9.400000,2.200000,3100,3800,4200,4400,5800,6400,6900,6900,7300,7300,7300,135,42,3100,3169.260535681449,346.8592150002223,7252.070002999972,4141.303703703704
1778439863,60,,Aggregated,10.200000,2.500000,3200,4000,4400,4700,5900,6800,7500,7600,7700,7700,7700,143,42,3200,3335.544823244741,346.8592150002223,7719.484553999791,4333.51048951049
1778439865,60,,Aggregated,11.400000,3.100000,3300,4000,4300,4700,5900,6800,7500,7600,7700,7700,7700,162,49,3300,3394.4331916110937,346.8592150002223,7719.484553999791,4158.401234567901
1778439866,60,,Aggregated,11.600000,3.600000,3400,4000,4300,4700,6000,6900,7500,7700,8000,8000,8000,173,52,3400,3480.8131650057535,346.8592150002223,7961.9927990006545,4214.71676300578
1778439867,60,,Aggregated,11.200000,3.300000,3600,4200,4400,4700,6400,7500,8000,8300,8500,8500,8500,194,52,3500,3665.528483180395,346.8592150002223,8450.45745799871,4391.3917525773195
1778439868,60,,Aggregated,12.400000,4.000000,3600,4200,4500,4800,6500,7500,8000,8300,8500,8500,8500,197,52,3600,3695.3596230558164,346.8592150002223,8450.45745799871,4442.086294416244
1778439869,60,,Aggregated,11.400000,3.600000,3700,4200,4500,4900,6500,7500,8000,8300,8500,8500,8500,200,52,3600,3714.7820596799734,346.8592150002223,8450.45745799871,4409.73
1778439870,60,,Aggregated,12.300000,3.600000,3800,4300,4500,4900,6400,7400,7900,8100,8500,8500,8500,207,52,3800,3754.340047536206,346.8592150002223,8450.45745799871,4408.342995169082
1778439871,60,,Aggregated,12.300000,3.600000,3800,4300,4700,5000,6400,7400,7900,8100,8500,8500,8500,221,52,3800,3793.582887818986,346.8592150002223,8450.45745799871,4354.723981900453
1778439872,60,,Aggregated,11.000000,3.400000,3900,4400,4900,5400,6900,7600,8000,8100,8500,8500,8500,230,52,3900,3934.4399323391094,346.8592150002223,8450.45745799871,4592.765217391305
1778439873,60,,Aggregated,11.200000,3.000000,3900,4400,4900,5500,6900,7600,8000,8100,8500,8500,8500,236,52,3900,3958.406101283876,346.8592150002223,8450.45745799871,4672.279661016949
