Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778440185,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778440186,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778440187,20,,Aggregated,0.000000,0.000000,1400,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,12,0,1400,1323.1210794997423,748.1807860003755,1479.6191540008294,5883.0
1778440188,30,,Aggregated,0.000000,0.000000,1400,1500,1500,1500,1700,1700,1700,1700,1700,1700,1700,29,8,1400,1259.2023608622499,640.5164690004312,1724.0631270015,4314.448275862069
1778440189,30,,Aggregated,5.500000,0.000000,1400,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,38,15,1400,1261.3403366054436,640.5164690004312,1926.900807000493,3638.5263157894738
1778440190,30,,Aggregated,9.666667,2.666667,1400,1500,1700,1700,2300,2700,2900,2900,2900,2900,2900,47,17,1400,1452.3859923617838,640.5164690004312,2897.421566000048,3727.0425531914893
1778440191,30,,Aggregated,8.750000,3.250000,1600,2100,2300,2700,3300,4000,4200,4400,4400,4400,4400,68,20,1600,1888.8956476176807,640.5164690004312,4355.460902001141,4001.6176470588234
1778440192,30,,Aggregated,8.800000,3.400000,1500,2000,2200,2400,3100,4000,4200,4400,4400,4400,4400,79,26,1500,1833.3095506202626,640.5164690004312,4355.460902001141,3757.8734177215188
1778440193,30,,Aggregated,10.833333,3.166667,1700,2100,2200,2300,3000,3400,4200,4200,4400,4400,4400,107,26,1700,1869.898177317787,640.5164690004312,4355.460902001141,3266.158878504673
1778440194,30,,Aggregated,11.000000,3.714286,1600,2000,2200,2300,2900,3400,4200,4200,4400,4400,4400,115,26,1600,1825.8791722782753,640.5164690004312,4355.460902001141,3041.939130434783
